"category_mapping_id","lob_channel_casetype_id","lob_id","channel_id","case_type_id"
"1","1","1","1","1"
"2","1","1","1","1"
"3","1","1","1","1"
"4","1","1","1","1"
"5","1","1","1","1"
"6","1","1","1","1"
"7","1","1","1","1"
"8","1","1","1","1"
"9","1","1","1","1"
"10","1","1","1","1"
"11","1","1","1","1"
"12","1","1","1","1"
"13","1","1","1","1"
"14","1","1","1","1"
"15","1","1","1","1"
"16","1","1","1","1"
"17","1","1","1","1"
"18","1","1","1","1"
"19","1","1","1","1"
"20","1","1","1","1"
"21","1","1","1","1"
"22","1","1","1","1"
"23","1","1","1","1"
"24","1","1","1","1"
"25","1","1","1","1"
"26","1","1","1","1"
"27","1","1","1","1"
"28","1","1","1","1"
"29","1","1","1","1"
"30","1","1","1","1"
"31","1","1","1","1"
"32","1","1","1","1"
"33","1","1","1","1"
"34","1","1","1","1"
"35","1","1","1","1"
"36","1","1","1","1"
"37","1","1","1","1"
"38","1","1","1","1"
"39","1","1","1","1"
"40","1","1","1","1"
"41","1","1","1","1"
"42","1","1","1","1"
"43","1","1","1","1"
"44","1","1","1","1"
"45","1","1","1","1"
"46","1","1","1","1"
"47","1","1","1","1"
"48","1","1","1","1"
"49","1","1","1","1"
"50","1","1","1","1"
"51","1","1","1","1"
"52","1","1","1","1"
"53","1","1","1","1"
"54","1","1","1","1"
"55","1","1","1","1"
"56","1","1","1","1"
"60","1","1","1","1"
"58","1","1","1","1"
"59","1","1","1","1"
"3182","35","4","1","2"
"3183","38","4","2","2"
"710","8","1","4","2"
"64","1","1","1","1"
"65","1","1","1","1"
"66","1","1","1","1"
"67","1","1","1","1"
"68","1","1","1","1"
"69","1","1","1","1"
"70","1","1","1","1"
"71","1","1","1","1"
"72","1","1","1","1"
"73","1","1","1","1"
"74","1","1","1","1"
"75","1","1","1","1"
"76","1","1","1","1"
"77","1","1","1","1"
"78","1","1","1","1"
"79","1","1","1","1"
"80","1","1","1","1"
"81","1","1","1","1"
"82","1","1","1","1"
"83","1","1","1","1"
"84","1","1","1","1"
"85","1","1","1","1"
"86","1","1","1","1"
"87","1","1","1","1"
"88","1","1","1","1"
"89","1","1","1","1"
"90","1","1","1","1"
"91","1","1","1","1"
"92","1","1","1","1"
"93","1","1","1","1"
"94","1","1","1","1"
"95","1","1","1","1"
"96","1","1","1","1"
"97","1","1","1","1"
"98","1","1","1","1"
"99","1","1","1","1"
"100","1","1","1","1"
"101","1","1","1","1"
"102","1","1","1","1"
"103","1","1","1","1"
"104","1","1","1","1"
"105","1","1","1","1"
"106","1","1","1","1"
"107","1","1","1","1"
"108","1","1","1","1"
"109","1","1","1","1"
"110","1","1","1","1"
"111","1","1","1","1"
"112","1","1","1","1"
"113","1","1","1","1"
"114","1","1","1","1"
"115","1","1","1","1"
"116","1","1","1","1"
"117","1","1","1","1"
"118","1","1","1","1"
"119","1","1","1","1"
"120","1","1","1","1"
"121","1","1","1","1"
"122","1","1","1","1"
"123","1","1","1","1"
"124","1","1","1","1"
"125","1","1","1","1"
"126","1","1","1","1"
"127","1","1","1","1"
"61","1","1","1","1"
"62","1","1","1","1"
"63","1","1","1","1"
"128","1","1","1","1"
"129","1","1","1","1"
"130","1","1","1","1"
"131","1","1","1","1"
"327","4","1","2","1"
"328","4","1","2","1"
"329","4","1","2","1"
"596","7","1","4","1"
"597","7","1","4","1"
"598","7","1","4","1"
"599","7","1","4","1"
"665","7","1","4","1"
"226","2","1","1","2"
"227","2","1","1","2"
"228","2","1","1","2"
"229","2","1","1","2"
"494","5","1","2","2"
"495","5","1","2","2"
"496","5","1","2","2"
"497","5","1","2","2"
"709","8","1","4","2"
"705","8","1","4","2"
"708","8","1","4","2"
"706","8","1","4","2"
"763","8","1","4","2"
"764","8","1","4","2"
"765","8","1","4","2"
"766","8","1","4","2"
"711","8","1","4","2"
"707","8","1","4","2"
"716","8","1","4","2"
"715","8","1","4","2"
"719","8","1","4","2"
"717","8","1","4","2"
"718","8","1","4","2"
"722","8","1","4","2"
"724","8","1","4","2"
"721","8","1","4","2"
"720","8","1","4","2"
"723","8","1","4","2"
"441","5","1","2","2"
"449","5","1","2","2"
"454","5","1","2","2"
"435","5","1","2","2"
"450","5","1","2","2"
"437","5","1","2","2"
"452","5","1","2","2"
"438","5","1","2","2"
"453","5","1","2","2"
"439","5","1","2","2"
"445","5","1","2","2"
"440","5","1","2","2"
"448","5","1","2","2"
"446","5","1","2","2"
"447","5","1","2","2"
"436","5","1","2","2"
"451","5","1","2","2"
"1121","11","2","1","2"
"1122","11","2","1","2"
"1123","11","2","1","2"
"1124","11","2","1","2"
"1125","11","2","1","2"
"1126","11","2","1","2"
"1127","11","2","1","2"
"1128","11","2","1","2"
"1129","11","2","1","2"
"1130","11","2","1","2"
"1131","11","2","1","2"
"1132","11","2","1","2"
"1133","11","2","1","2"
"1134","11","2","1","2"
"1135","11","2","1","2"
"1136","11","2","1","2"
"1137","11","2","1","2"
"1138","11","2","1","2"
"1139","11","2","1","2"
"1140","11","2","1","2"
"1141","11","2","1","2"
"1142","11","2","1","2"
"1143","11","2","1","2"
"1144","11","2","1","2"
"1145","11","2","1","2"
"1146","11","2","1","2"
"1147","11","2","1","2"
"1148","11","2","1","2"
"1149","11","2","1","2"
"1150","11","2","1","2"
"1151","11","2","1","2"
"1152","11","2","1","2"
"1153","11","2","1","2"
"1154","11","2","1","2"
"1155","11","2","1","2"
"1156","11","2","1","2"
"1157","11","2","1","2"
"1158","11","2","1","2"
"1159","11","2","1","2"
"1160","11","2","1","2"
"326","4","1","2","1"
"253","3","1","1","3"
"254","3","1","1","3"
"255","3","1","1","3"
"256","3","1","1","3"
"257","3","1","1","3"
"258","3","1","1","3"
"259","3","1","1","3"
"260","3","1","1","3"
"261","3","1","1","3"
"262","3","1","1","3"
"263","3","1","1","3"
"264","3","1","1","3"
"265","3","1","1","3"
"266","3","1","1","3"
"267","3","1","1","3"
"268","4","1","2","1"
"269","4","1","2","1"
"270","4","1","2","1"
"271","4","1","2","1"
"272","4","1","2","1"
"273","4","1","2","1"
"274","4","1","2","1"
"275","4","1","2","1"
"276","4","1","2","1"
"277","4","1","2","1"
"278","4","1","2","1"
"279","4","1","2","1"
"280","4","1","2","1"
"281","4","1","2","1"
"282","4","1","2","1"
"283","4","1","2","1"
"284","4","1","2","1"
"285","4","1","2","1"
"286","4","1","2","1"
"287","4","1","2","1"
"288","4","1","2","1"
"289","4","1","2","1"
"290","4","1","2","1"
"291","4","1","2","1"
"292","4","1","2","1"
"293","4","1","2","1"
"294","4","1","2","1"
"295","4","1","2","1"
"296","4","1","2","1"
"297","4","1","2","1"
"298","4","1","2","1"
"299","4","1","2","1"
"300","4","1","2","1"
"301","4","1","2","1"
"302","4","1","2","1"
"303","4","1","2","1"
"304","4","1","2","1"
"305","4","1","2","1"
"306","4","1","2","1"
"307","4","1","2","1"
"308","4","1","2","1"
"309","4","1","2","1"
"310","4","1","2","1"
"311","4","1","2","1"
"312","4","1","2","1"
"313","4","1","2","1"
"314","4","1","2","1"
"315","4","1","2","1"
"316","4","1","2","1"
"317","4","1","2","1"
"318","4","1","2","1"
"319","4","1","2","1"
"320","4","1","2","1"
"321","4","1","2","1"
"322","4","1","2","1"
"323","4","1","2","1"
"324","4","1","2","1"
"325","4","1","2","1"
"3093","61","7","2","2"
"3094","61","7","2","2"
"3095","61","7","2","2"
"330","4","1","2","1"
"331","4","1","2","1"
"3096","61","7","2","2"
"3097","61","7","2","2"
"332","4","1","2","1"
"333","17","2","4","2"
"334","4","1","2","1"
"335","4","1","2","1"
"336","4","1","2","1"
"337","4","1","2","1"
"338","4","1","2","1"
"339","4","1","2","1"
"340","4","1","2","1"
"341","4","1","2","1"
"342","4","1","2","1"
"343","4","1","2","1"
"344","4","1","2","1"
"345","4","1","2","1"
"346","4","1","2","1"
"347","4","1","2","1"
"348","4","1","2","1"
"349","4","1","2","1"
"350","4","1","2","1"
"351","4","1","2","1"
"352","4","1","2","1"
"353","4","1","2","1"
"354","4","1","2","1"
"355","4","1","2","1"
"356","4","1","2","1"
"357","4","1","2","1"
"358","4","1","2","1"
"359","4","1","2","1"
"360","4","1","2","1"
"361","4","1","2","1"
"362","4","1","2","1"
"363","4","1","2","1"
"364","4","1","2","1"
"365","4","1","2","1"
"366","4","1","2","1"
"367","4","1","2","1"
"368","4","1","2","1"
"369","4","1","2","1"
"370","4","1","2","1"
"371","4","1","2","1"
"372","4","1","2","1"
"373","4","1","2","1"
"374","4","1","2","1"
"375","4","1","2","1"
"376","4","1","2","1"
"377","4","1","2","1"
"378","4","1","2","1"
"379","4","1","2","1"
"380","4","1","2","1"
"381","4","1","2","1"
"382","4","1","2","1"
"383","4","1","2","1"
"384","4","1","2","1"
"385","4","1","2","1"
"386","4","1","2","1"
"387","4","1","2","1"
"388","4","1","2","1"
"389","4","1","2","1"
"390","4","1","2","1"
"391","4","1","2","1"
"392","4","1","2","1"
"393","4","1","2","1"
"394","4","1","2","1"
"395","4","1","2","1"
"396","4","1","2","1"
"397","4","1","2","1"
"398","4","1","2","1"
"3099","61","7","2","2"
"3100","62","7","2","3"
"3398","2","1","1","2"
"3101","62","7","2","3"
"3102","62","7","2","3"
"3103","62","7","2","3"
"3104","62","7","2","3"
"3105","62","7","2","3"
"3106","62","7","2","3"
"3108","62","7","2","3"
"3109","63","7","4","2"
"3110","63","7","4","2"
"3111","63","7","4","2"
"3112","63","7","4","2"
"3113","63","7","4","2"
"3114","63","7","4","2"
"3115","63","7","4","2"
"3399","2","1","1","2"
"3117","63","7","4","2"
"3118","64","7","4","3"
"3119","64","7","4","3"
"3120","64","7","4","3"
"3121","64","7","4","3"
"3122","64","7","4","3"
"3123","64","7","4","3"
"3124","64","7","4","3"
"2635","23","3","1","2"
"2636","23","3","1","2"
"2637","23","3","1","2"
"2638","23","3","1","2"
"2639","23","3","1","2"
"2640","23","3","1","2"
"2641","23","3","1","2"
"2642","20","5","3","2"
"2643","20","5","3","2"
"2644","20","5","3","2"
"2645","20","5","3","2"
"2646","20","5","3","2"
"2647","20","5","3","2"
"2648","20","5","3","2"
"2649","11","2","1","2"
"2650","11","2","1","2"
"2651","11","2","1","2"
"2652","11","2","1","2"
"2653","11","2","1","2"
"2654","11","2","1","2"
"2655","11","2","1","2"
"3205","66","7","2","5"
"3206","66","7","2","5"
"3207","66","7","2","5"
"3208","66","7","2","5"
"3209","66","7","2","5"
"3210","66","7","2","5"
"3211","66","7","2","5"
"3126","64","7","4","3"
"3212","66","7","2","5"
"3213","66","7","2","5"
"3214","66","7","2","5"
"3215","66","7","2","5"
"3216","66","7","2","5"
"3217","66","7","2","5"
"2670","27","3","2","2"
"2671","27","3","2","2"
"2672","27","3","2","2"
"2673","27","3","2","2"
"2674","27","3","2","2"
"2675","27","3","2","2"
"2676","27","3","2","2"
"2677","14","2","2","2"
"2678","14","2","2","2"
"2679","14","2","2","2"
"2680","14","2","2","2"
"2681","14","2","2","2"
"2682","14","2","2","2"
"2683","14","2","2","2"
"2684","3","1","1","3"
"2685","3","1","1","3"
"2686","3","1","1","3"
"2687","3","1","1","3"
"2688","3","1","1","3"
"2689","3","1","1","3"
"2690","3","1","1","3"
"2691","25","3","1","3"
"2692","25","3","1","3"
"2693","25","3","1","3"
"2694","25","3","1","3"
"2695","25","3","1","3"
"2696","25","3","1","3"
"2697","25","3","1","3"
"3218","66","7","2","5"
"3219","66","7","2","5"
"3220","66","7","2","5"
"3221","66","7","2","5"
"3222","66","7","2","5"
"3223","66","7","2","5"
"3224","67","7","4","5"
"2698","21","5","3","3"
"2699","21","5","3","3"
"2700","21","5","3","3"
"2701","21","5","3","3"
"2702","21","5","3","3"
"2703","21","5","3","3"
"2704","21","5","3","3"
"2705","12","2","1","3"
"2706","12","2","1","3"
"2707","12","2","1","3"
"2708","12","2","1","3"
"2709","12","2","1","3"
"2710","12","2","1","3"
"521","6","1","2","3"
"522","6","1","2","3"
"523","6","1","2","3"
"524","6","1","2","3"
"525","6","1","2","3"
"526","6","1","2","3"
"527","6","1","2","3"
"528","6","1","2","3"
"529","6","1","2","3"
"530","6","1","2","3"
"531","6","1","2","3"
"532","6","1","2","3"
"533","6","1","2","3"
"534","6","1","2","3"
"535","6","1","2","3"
"536","7","1","4","1"
"537","7","1","4","1"
"538","7","1","4","1"
"539","7","1","4","1"
"540","7","1","4","1"
"541","7","1","4","1"
"542","7","1","4","1"
"543","7","1","4","1"
"544","7","1","4","1"
"545","7","1","4","1"
"546","7","1","4","1"
"547","7","1","4","1"
"548","7","1","4","1"
"550","7","1","4","1"
"551","7","1","4","1"
"552","7","1","4","1"
"553","7","1","4","1"
"554","7","1","4","1"
"555","7","1","4","1"
"556","7","1","4","1"
"557","7","1","4","1"
"558","7","1","4","1"
"559","7","1","4","1"
"560","7","1","4","1"
"561","7","1","4","1"
"562","7","1","4","1"
"563","7","1","4","1"
"564","7","1","4","1"
"565","7","1","4","1"
"566","7","1","4","1"
"567","7","1","4","1"
"568","7","1","4","1"
"569","7","1","4","1"
"570","7","1","4","1"
"571","7","1","4","1"
"572","7","1","4","1"
"573","7","1","4","1"
"574","7","1","4","1"
"575","7","1","4","1"
"576","7","1","4","1"
"577","7","1","4","1"
"578","7","1","4","1"
"579","7","1","4","1"
"580","7","1","4","1"
"581","7","1","4","1"
"582","7","1","4","1"
"583","7","1","4","1"
"584","7","1","4","1"
"585","7","1","4","1"
"586","7","1","4","1"
"587","7","1","4","1"
"588","7","1","4","1"
"589","7","1","4","1"
"590","7","1","4","1"
"591","7","1","4","1"
"592","7","1","4","1"
"593","7","1","4","1"
"594","9","1","4","3"
"595","7","1","4","1"
"2711","12","2","1","3"
"3225","67","7","4","5"
"3226","67","7","4","5"
"3227","67","7","4","5"
"600","7","1","4","1"
"601","7","1","4","1"
"602","7","1","4","1"
"603","7","1","4","1"
"604","7","1","4","1"
"605","7","1","4","1"
"606","7","1","4","1"
"607","7","1","4","1"
"608","7","1","4","1"
"609","7","1","4","1"
"610","7","1","4","1"
"611","7","1","4","1"
"612","7","1","4","1"
"613","7","1","4","1"
"614","7","1","4","1"
"615","7","1","4","1"
"616","7","1","4","1"
"617","7","1","4","1"
"618","7","1","4","1"
"619","7","1","4","1"
"620","7","1","4","1"
"621","7","1","4","1"
"622","7","1","4","1"
"623","7","1","4","1"
"624","7","1","4","1"
"625","7","1","4","1"
"626","7","1","4","1"
"627","7","1","4","1"
"628","7","1","4","1"
"629","7","1","4","1"
"630","7","1","4","1"
"631","7","1","4","1"
"632","7","1","4","1"
"633","7","1","4","1"
"634","7","1","4","1"
"635","7","1","4","1"
"636","7","1","4","1"
"637","7","1","4","1"
"638","7","1","4","1"
"639","7","1","4","1"
"640","7","1","4","1"
"641","7","1","4","1"
"642","7","1","4","1"
"643","7","1","4","1"
"644","7","1","4","1"
"645","7","1","4","1"
"646","7","1","4","1"
"647","7","1","4","1"
"648","7","1","4","1"
"649","7","1","4","1"
"650","7","1","4","1"
"651","7","1","4","1"
"652","7","1","4","1"
"653","7","1","4","1"
"654","7","1","4","1"
"655","7","1","4","1"
"656","7","1","4","1"
"657","7","1","4","1"
"658","7","1","4","1"
"659","7","1","4","1"
"660","7","1","4","1"
"661","7","1","4","1"
"662","7","1","4","1"
"663","7","1","4","1"
"3400","2","1","1","2"
"2113","20","5","3","2"
"666","7","1","4","1"
"667","7","1","4","1"
"668","7","1","4","1"
"3228","67","7","4","5"
"3229","67","7","4","5"
"3230","67","7","4","5"
"3231","67","7","4","5"
"2719","6","1","2","3"
"2720","6","1","2","3"
"2721","6","1","2","3"
"2722","6","1","2","3"
"2723","6","1","2","3"
"2724","6","1","2","3"
"2725","6","1","2","3"
"2726","29","3","2","3"
"2727","29","3","2","3"
"2728","29","3","2","3"
"2729","29","3","2","3"
"2730","29","3","2","3"
"2731","29","3","2","3"
"2732","29","3","2","3"
"2733","15","2","2","3"
"2734","15","2","2","3"
"2735","15","2","2","3"
"2736","15","2","2","3"
"2737","15","2","2","3"
"2738","15","2","2","3"
"2739","15","2","2","3"
"1161","11","2","1","2"
"1162","11","2","1","2"
"1163","11","2","1","2"
"1164","11","2","1","2"
"1165","11","2","1","2"
"1166","11","2","1","2"
"1167","11","2","1","2"
"1168","11","2","1","2"
"1169","11","2","1","2"
"1170","11","2","1","2"
"1171","11","2","1","2"
"1172","11","2","1","2"
"1173","11","2","1","2"
"1174","11","2","1","2"
"1175","11","2","1","2"
"1176","11","2","1","2"
"1177","11","2","1","2"
"1178","11","2","1","2"
"1179","11","2","1","2"
"1180","11","2","1","2"
"1181","11","2","1","2"
"1182","11","2","1","2"
"1183","12","2","1","3"
"1184","12","2","1","3"
"1185","12","2","1","3"
"1186","12","2","1","3"
"1187","12","2","1","3"
"1188","12","2","1","3"
"1371","14","2","2","2"
"1372","14","2","2","2"
"1373","14","2","2","2"
"1374","14","2","2","2"
"1375","14","2","2","2"
"1376","14","2","2","2"
"1377","14","2","2","2"
"1378","14","2","2","2"
"1379","14","2","2","2"
"1380","14","2","2","2"
"1381","14","2","2","2"
"1382","14","2","2","2"
"1383","14","2","2","2"
"1384","14","2","2","2"
"1385","14","2","2","2"
"1386","14","2","2","2"
"1387","14","2","2","2"
"1388","14","2","2","2"
"1389","14","2","2","2"
"1390","14","2","2","2"
"1391","14","2","2","2"
"3232","67","7","4","5"
"3233","67","7","4","5"
"3234","67","7","4","5"
"3235","67","7","4","5"
"3236","67","7","4","5"
