"category_mapping_id","lob_channel_casetype_id","category_id","primary_cat_id","secondary_cat_id","tertiary_cat_id","created_at","created_by","modified_at","modified_by","related_with_id","device_type_id","is_active"
"1","1","1","1","1",NULL,"2023-06-12 10:22:58.410653","Admin",NULL,NULL,"4",NULL,True
"2","1","1","1","2",NULL,"2023-06-12 10:22:58.410653","Admin",NULL,NULL,"4",NULL,True
"3","1","1","1","3","1","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"4","1","1","1","3","2","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"5","1","1","1","3","3","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"6","1","1","1","3","4","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"7","1","1","1","3","8","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"8","1","1","1","3","6","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"9","1","1","1","3","7","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","1",True
"10","1","1","2","4",NULL,"2023-06-12 10:22:58.410653","Admin",NULL,NULL,"4",NULL,True
"11","1","1","3","5","8","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"12","1","1","3","5","34","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"13","1","1","3","5","10","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"14","1","1","3","5","6","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"15","1","1","3","5","7","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"16","1","1","3","3","1","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"17","1","1","3","3","2","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"18","1","1","3","3","3","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
"19","1","1","3","3","4","2023-06-12 10:22:58.410653","Admin",NULL,NULL,"3","2",True
