"secondary_cat_id","secondary_cat_name","secondary_cat_desc","created_at","created_by","modified_at","modified_by"
"1","Accessories Not Fixed Properly","Accessories Not Fixed Properly","2023-06-02 09:05:40.462","Admin",NULL,""
"2","Accessories Related","Accessories Related","2023-06-02 09:05:40.462","Admin",NULL,""
"3","Suzuki Connect Sales Related","Suzuki Connect Sales Related","2023-06-02 09:05:40.462","Admin",NULL,""
"4","Unable to Claim Badge","Unable to Claim Badge","2023-06-02 09:05:40.462","Admin",NULL,""
"5","Suzuki Connect Dealer Assistance","Suzuki Connect Dealer Assistance","2023-06-02 09:05:40.462","Admin",NULL,""
"6","False Commitment (Verbal)","False Commitment (Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"7","False Commitment (Written)","False Commitment (Written)","2023-06-02 09:05:40.462","Admin",NULL,""
"8","Price of The Car(Verbal)","Price of The Car(Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"9","Price of The Car(Written)","Price of The Car(Written)","2023-06-02 09:05:40.462","Admin",NULL,""
"10","Scheme/Discount Related (Verbal)","Scheme/Discount Related (Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"11","Scheme/Discount Related (Written)","Scheme/Discount Related (Written)","2023-06-02 09:05:40.462","Admin",NULL,""
"12","Unsatisfactory Dealer Interaction","Unsatisfactory Dealer Interaction","2023-06-02 09:05:40.462","Admin",NULL,""
"13","Delayed Delivery Days (Verbal)","Delayed Delivery Days (Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"14","Delivery Process Time (Verbal)","Delivery Process Time (Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"15","Explanation at The Time of Delivery","Explanation at The Time of Delivery","2023-06-02 09:05:40.462","Admin",NULL,""
"16","Second Key Not Delivered","Second Key Not Delivered","2023-06-02 09:05:40.462","Admin",NULL,""
"17","Documents Not Received/Delay in Receipt of Documents (Verbal)","Documents Not Received/Delay in Receipt of Documents (Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"18","Documents Not Received/Delay in Receipt of Documents (Written)","Documents Not Received/Delay in Receipt of Documents (Written)","2023-06-02 09:05:40.462","Admin",NULL,""
"19","RC Not Received (Verbal)","RC Not Received (Verbal)","2023-06-02 09:05:40.462","Admin",NULL,""
"20","RC Not Received (Written)","RC Not Received (Written)","2023-06-02 09:05:40.462","Admin",NULL,""
"21","Finance Process Related","Finance Process Related","2023-06-02 09:05:40.462","Admin",NULL,""
"22","Smart Finance - Dealer Related","Smart Finance - Dealer Related","2023-06-02 09:05:40.462","Admin",NULL,""
"23","Smart Finance - Financer Related","Smart Finance - Financer Related","2023-06-02 09:05:40.462","Admin",NULL,""
"24","Multiple","Multiple","2023-06-02 09:05:40.462","Admin",NULL,""
"25","Others","Others","2023-06-02 09:05:40.462","Admin",NULL,""
"26","Overcharging","Overcharging","2023-06-02 09:05:40.462","Admin",NULL,""
"27","Hassle Free/Transparent Paper Work","Hassle Free/Transparent Paper Work","2023-06-02 09:05:40.462","Admin",NULL,""
"28","Non Refund of Amount","Non Refund of Amount","2023-06-02 09:05:40.462","Admin",NULL,""
"29","Dirty Car Delivered","Dirty Car Delivered","2023-06-02 09:05:40.462","Admin",NULL,""
"30","PDI Service","PDI Service","2023-06-02 09:05:40.462","Admin",NULL,""
