"tertiary_cat_id","tertiary_cat_name","tertiary_cat_desc","created_at","created_by","modified_at","modified_by"
"1","Subscription Not Sold in DMS","Subscription Not Sold in DMS","2023-06-01 13:55:03.605","Admin",NULL,""
"2","Mobile Number Not Updated","Mobile Number Not Updated","2023-06-01 13:55:03.605","Admin",NULL,""
"3","Vehicle Registration Number Not Updated","Vehicle Registration Number Not Updated","2023-06-01 13:55:03.605","Admin",NULL,""
"4","Billing Related","Billing Related","2023-06-01 13:55:03.605","Admin",NULL,""
"6","Replacement","Replacement","2023-06-01 13:55:03.605","Admin",NULL,""
"7","Others","Others","2023-06-01 13:55:03.605","Admin",NULL,""
"8","Device Connections To Be Checked(Device Inspection)","Device Connections To Be Checked(Device Inspection)","2023-06-01 13:55:03.605","Admin",NULL,""
"9","Re-enrolment/Enrollment","Re-enrolment/Enrollment","2023-06-01 13:55:03.605","Admin",NULL,""
"10","Vehicle Inspection","Vehicle Inspection","2023-06-01 13:55:03.605","Admin",NULL,""
"12","Price Visibile on Portal","Price Visibile on Portal","2023-06-01 13:55:03.605","Admin",NULL,""
"13","Dealer Support Assistance on MSSF ","Dealer Support Assistance on MSSF ","2023-06-01 13:55:03.605","Admin",NULL,""
"14","Dealer Behaviour Related","Dealer Behaviour Related","2023-06-01 13:55:03.605","Admin",NULL,""
"15","No Response/Delayed in Issuing Sanction Letter","No Response/Delayed in Issuing Sanction Letter","2023-06-01 13:55:03.605","Admin",NULL,""
"16","Financer Seeking Documents Again ","Financer Seeking Documents Again ","2023-06-01 13:55:03.605","Admin",NULL,""
"17","Financer Refusing to Honor Sanction Letter","Financer Refusing to Honor Sanction Letter","2023-06-01 13:55:03.605","Admin",NULL,""
"18","Unable to Enroll","Unable to Enroll","2023-06-01 13:55:03.605","Admin",NULL,""
"19","Incorrect Customer Details","Incorrect Customer Details","2023-06-01 13:55:03.605","Admin",NULL,""
"20","App Related","App Related","2023-06-01 13:55:03.605","Admin",NULL,""
"21","Website Related","Website Related","2023-06-01 13:55:03.605","Admin",NULL,""
"22","OTP Not Received","OTP Not Received","2023-06-01 13:55:03.605","Admin",NULL,""
"23","Error in Payment","Error in Payment","2023-06-01 13:55:03.605","Admin",NULL,""
"24","Unable to Claim Benefit","Unable to Claim Benefit","2023-06-01 13:55:03.605","Admin",NULL,""
"25","Unable to Claim Badge","Unable to Claim Badge","2023-06-01 13:55:03.605","Admin",NULL,""
"26","Unable to Use Badge","Unable to Use Badge","2023-06-01 13:55:03.605","Admin",NULL,""
