"id","channel_id","lob_id","case_type_id","created_at","created_by","modified_at","modified_by","is_active"
"1","1","1","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"2","1","1","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"3","1","1","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"4","2","1","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"5","2","1","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"6","2","1","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"7","4","1","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"8","4","1","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"9","4","1","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"10","1","2","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"11","1","2","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"12","1","2","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"13","2","2","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"14","2","2","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"15","2","2","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"16","4","2","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"17","4","2","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"18","4","2","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"19","3","5","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"20","3","5","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"21","3","5","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"22","1","3","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"23","1","3","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"24","1","3","4","2023-05-26 10:21:44.935","Admin",NULL,"",False
"25","1","3","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"26","2","3","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"27","2","3","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"28","2","3","4","2023-05-26 10:21:44.935","Admin",NULL,"",False
"29","2","3","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"30","4","3","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"31","4","3","2","2023-05-26 10:21:44.935","Admin",NULL,"",True
"32","4","3","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"33","4","3","4","2023-05-26 10:21:44.935","Admin",NULL,"",False
"34","1","4","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"35","1","4","2","2023-05-30 07:16:40.814","Admin",NULL,"",True
"36","1","4","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"37","2","4","1","2023-05-26 10:21:44.935","Admin",NULL,"",True
"38","2","4","2","2023-05-30 07:17:36.586","Admin",NULL,"",True
"39","2","4","3","2023-05-26 10:21:44.935","Admin",NULL,"",True
"40","3","3","1","2023-06-05 09:18:40.038","Admin",NULL,"",True
"41","3","3","2","2023-06-05 09:19:08.203","Admin",NULL,"",True
"42","3","3","3","2023-06-05 09:19:31.74","Admin",NULL,"",True
"43","5","6","1","2023-08-09 11:51:30.97904","admin",NULL,NULL,True
"44","5","6","2","2023-08-09 11:51:30.97904","admin",NULL,NULL,True
"45","5","6","3","2023-08-09 11:51:30.97904","admin",NULL,NULL,True
"46","1","1","5","2023-08-25 10:12:02.290702","Admin",NULL,NULL,True
"47","1","2","5","2023-08-25 10:12:02.298376","Admin",NULL,NULL,True
"48","1","3","5","2023-08-25 10:12:02.29894","Admin",NULL,NULL,True
"49","1","4","5","2023-08-25 10:12:02.299319","Admin",NULL,NULL,True
"50","2","1","5","2023-08-25 10:12:02.299806","Admin",NULL,NULL,True
"51","2","2","5","2023-08-25 10:12:02.300334","Admin",NULL,NULL,True
"52","2","3","5","2023-08-25 10:12:02.301146","Admin",NULL,NULL,True
"53","2","4","5","2023-08-25 10:12:02.301731","Admin",NULL,NULL,True
"54","3","3","5","2023-08-25 10:12:02.302209","Admin",NULL,NULL,True
"55","3","5","5","2023-08-25 10:12:02.302585","Admin",NULL,NULL,True
"56","4","1","5","2023-08-25 10:12:02.302891","Admin",NULL,NULL,True
"57","4","2","5","2023-08-25 10:12:02.303172","Admin",NULL,NULL,True
"58","4","3","5","2023-08-25 10:12:02.303579","Admin",NULL,NULL,True
"59","1","7","2","2023-10-05 08:33:49.94623","Admin",NULL,NULL,True
"60","1","7","3","2023-10-05 08:33:49.94623","Admin",NULL,NULL,True
"61","2","7","2","2023-10-05 08:33:49.94623","Admin",NULL,NULL,True
"62","2","7","3","2023-10-05 08:33:49.94623","Admin",NULL,NULL,True
"63","4","7","2","2023-10-05 08:33:49.94623","Admin",NULL,NULL,True
"64","4","7","3","2023-10-05 08:33:49.94623","Admin",NULL,NULL,True
"65","1","7","5","2023-10-12 10:10:17.148811","Admin",NULL,NULL,True
"66","2","7","5","2023-10-12 10:10:57.143955","Admin",NULL,NULL,True
"67","4","7","5","2023-10-12 10:11:19.627792","Admin",NULL,NULL,True
"68","5","6","5","2023-12-22 10:12:02.290702","Admin",NULL,NULL,True
"69","1","7","1","2023-10-05 08:33:49.946","Admin",NULL,NULL,False
"70","2","7","1","2023-10-05 08:33:49.946","Admin",NULL,NULL,False
"71","4","7","1","2023-10-05 08:33:49.946","Admin",NULL,NULL,False
